game_id,cluster_id
204348,83
86151,64
147658,46
347330,57
164895,43
54524,29
81577,24
20869,64
35996,7
228529,7
85908,66
19156,68
376580,45
326577,52
172958,74
272995,40
150127,109
305989,37
33262,7
144174,32
204369,65
48563,48
343529,57
234532,4
93563,66
365344,11
365342,52
213563,47
149302,38
14606,82
140606,32
23072,66
19424,48
295734,79
69606,32
254849,36
2380,7
5072,89
54416,57
172416,77
79744,76
244652,46
135416,68
270152,74
20386,78
208210,48
222008,71
106708,81
135815,109
113461,68
1461,17
78160,100
46082,22
132019,54
90255,79
74094,65
204351,5
2850,89
288850,100
345461,60
350708,25
10116,62
371346,52
115316,28
8094,78
25803,43
50577,91
17187,5
142030,18
1220,37
37852,62
307975,74
1822,77
4270,37
158137,33
116263,43
145211,109
315320,57
344001,74
19864,54
136805,33
75246,7
91170,63
343320,20
56320,22
197908,108
119100,43
462,63
183113,42
141805,46
23462,25
152892,16
6462,64
6579,37
328510,87
4865,78
356847,57
1167,65
233802,87
123888,63
104060,79
54592,102
198626,42
110417,109
360798,43
7301,89
30971,46
6417,78
78167,102
4462,109
3320,104
49320,22
5865,78
82540,89
82417,36
134301,86
55301,50
21301,6
7167,9
370540,35
166320,2
108988,22
8470,40
207865,109
296537,102
366900,40
45988,40
102865,100
112483,33
216579,37
342155,36
244594,50
89452,62
147677,87
244784,7
23891,64
79709,91
118784,6
33479,10
216583,24
104890,33
2720,40
342370,9
117334,43
85302,85
342385,39
114947,62
312614,43
31696,29
20266,83
350839,39
367349,36
4816,89
142267,46
347335,90
67642,55
326877,43
7129,77
109266,7
98463,48
41870,61
5167,78
9463,40
82434,106
6231,40
20816,7
21816,83
4158,76
38463,102
61890,108
2267,109
8247,32
272816,37
725,3
943,89
144146,67
5438,29
348033,48
145016,5
6599,40
3810,40
44334,65
116486,62
127636,29
333736,45
141079,62
47571,47
19072,78
242043,2
286882,50
129624,46
332832,22
147908,87
319302,24
199178,10
80188,100
197265,5
7309,80
220867,83
153230,33
114505,62
128228,43
81459,66
26753,40
20321,72
45501,22
64710,2
89444,83
37140,109
81036,46
336599,94
65321,10
143663,74
120395,24
135862,43
6600,30
19762,109
345710,45
47763,89
269321,25
86736,91
862,90
339056,87
147845,60
212785,21
332241,58
19212,25
6797,109
21968,40
141023,107
109543,86
88301,101
99120,43
192807,46
1470,11
16210,20
56321,2
328564,73
267489,62
16088,29
333741,48
374987,82
9056,40
147212,97
217007,33
144947,37
60315,15
51056,12
27714,33
52586,105
74959,42
74500,83
353575,48
115564,46
131746,15
54700,7
163820,109
372159,87
372158,45
46015,77
121603,46
311056,57
372160,11
142874,40
146748,50
2899,37
107290,23
82591,91
74470,5
190006,43
107215,21
27958,86
116354,32
332171,79
27082,101
125189,109
149631,43
122372,42
370592,57
187464,87
353957,11
18974,37
246185,109
332485,57
236663,7
29511,62
337822,46
217550,82
221631,102
65631,91
188470,33
152522,87
44994,80
34218,16
308917,43
19820,67
3631,22
358534,37
261,7
150022,37
1134,109
190983,33
80710,109
150327,57
233277,37
154370,50
1221,64
9565,10
274581,14
30768,7
17895,43
192671,33
154369,15
45565,109
332322,39
150032,75
355086,90
53043,91
16322,16
74322,92
185855,87
8719,40
913,78
54978,50
3322,104
333714,43
125084,62
3325,109
328259,75
23314,21
268322,74
195915,75
242505,5
140948,60
200699,60
174776,99
24206,42
212264,57
189955,74
28721,48
84310,78
10917,109
256554,74
55709,79
210544,74
253175,43
127934,16
20752,40
43934,80
19614,109
125401,101
360996,32
47935,103
341684,7
356934,48
86622,43
125474,16
78115,37
115389,37
211320,11
138517,101
156520,107
119251,23
167452,33
119058,35
20632,50
364275,5
15517,10
20577,109
203449,46
137281,5
6577,65
10788,10
25617,86
333676,0
221060,11
337073,56
11607,47
105649,75
51045,58
42764,68
154057,0
135631,33
51856,65
145583,11
5764,7
190269,108
85791,61
122105,21
265550,61
45418,2
150465,33
27457,101
62045,23
24050,79
120920,33
18403,101
239382,19
33396,45
114912,5
183600,21
123577,37
66305,5
201474,43
20711,22
343605,79
315339,42
43711,22
138426,33
44902,89
309375,33
172919,46
290971,2
72321,97
267857,43
24511,70
5481,78
211893,62
343406,43
6481,66
56511,29
99822,46
161901,16
63566,55
114923,59
158197,73
325177,42
86312,79
149776,46
235450,74
213134,16
189933,43
30302,23
138917,79
260551,33
